Year,Make,Model,Display Name,Type,Wh Per Mile,Battery (kWh),Fuel Type 1,Fuel 1 Range (miles),Fuel Type 2,Fuel 2 Range (miles),Charger A Desc,"Hours to Charge (240V, Charger A)",Charger B Desc,"Hours to Charge (240V, Charger B)",Doe Id
2016,Audi,A3 e-tron,,Plug-in Hybrid,400,6,Premium Gasoline,0,Electricity,16,,2.5,,0,37129
2017,Audi,A3 e-tron,,Plug-in Hybrid,410,7,Premium Gasoline,0,Electricity,16,,2.5,,0,38228
2018,Audi,A3 e-tron,,Plug-in Hybrid,410,7,Premium Gasoline,0,Electricity,16,,2.5,,0,39589
2016,Audi,A3 e-tron ultra,,Plug-in Hybrid,380,6,Premium Gasoline,0,Electricity,17,,2.5,,0,37130
2021,Audi,A7 quattro,,Plug-in Hybrid,460,11,Premium Gasoline,0,Electricity,24,,2.4,,0,43213
2022,Audi,A7 TFSI e quattro,,Plug-in Hybrid,480,12,Premium Gasoline,0,Electricity,26,,3,,0,44158
2020,Audi,A8 L,,Plug-in Hybrid,630,11,Premium Gasoline,0,Electricity,17,,2.4,,0,42447
2021,Audi,A8 L,,Plug-in Hybrid,630,11,Premium Gasoline,0,Electricity,18,,2.4,,0,43033
2019,Audi,e-tron,,EV,455,93,Electricity,204,,,,10,,0,41393
2020,Audi,e-tron,,EV,434,96,Electricity,222,,,,10,,0,42506
2021,Audi,e-tron,,EV,434,96,Electricity,222,,,,10,,0,43498
2022,Audi,e-tron GT,,EV,412,98,Electricity,238,,,,10,,0,44776
2022,Audi,e-tron quattro,,EV,434,96,Electricity,222,,,,10,,0,44920
2022,Audi,e-tron S (20in wheels),,EV,458,95,Electricity,208,,,,10,,0,44777
2022,Audi,e-tron S (21in or 22in wheels),,EV,533,96,Electricity,181,,,,10,,0,44778
2022,Audi,e-tron S Sportback (20in wheels),,EV,449,95,Electricity,212,,,,10,,0,44779
2022,Audi,e-tron S Sportback (21/22in wheels),,EV,520,96,Electricity,185,,,,10,,0,44780
2020,Audi,e-tron Sportback,,EV,439,96,Electricity,218,,,,10,,0,42507
